Vardas         Pavard               Galutinis
---------------------------------------------------------------------
vardas1        pavarde1             8.00
vardas2        pavarde2             7.00
vardas4        pavarde4             5.00
vardas5        pavarde5             6.00
vardas7        pavarde7             6.00
vardas8        pavarde8             5.00
vardas9        pavarde9             7.00
vardas10       pavarde10            6.00
vardas12       pavarde12            5.00
vardas14       pavarde14            5.00
vardas15       pavarde15            5.00
vardas17       pavarde17            5.00
vardas20       pavarde20            7.00
vardas21       pavarde21            6.00
vardas22       pavarde22            7.00
vardas23       pavarde23            8.00
vardas24       pavarde24            7.00
vardas26       pavarde26            7.00
vardas27       pavarde27            7.00
vardas29       pavarde29            5.00
vardas34       pavarde34            6.00
vardas35       pavarde35            8.00
vardas37       pavarde37            6.00
vardas38       pavarde38            6.00
vardas39       pavarde39            7.00
vardas40       pavarde40            6.00
vardas43       pavarde43            6.00
vardas44       pavarde44            7.00
vardas45       pavarde45            6.00
vardas47       pavarde47            6.00
vardas48       pavarde48            8.00
vardas52       pavarde52            6.00
vardas54       pavarde54            6.00
vardas56       pavarde56            6.00
vardas58       pavarde58            5.00
vardas59       pavarde59            9.00
vardas61       pavarde61            7.00
vardas62       pavarde62            8.00
vardas63       pavarde63            5.00
vardas64       pavarde64            5.00
vardas66       pavarde66            6.00
vardas67       pavarde67            5.00
vardas68       pavarde68            5.00
vardas70       pavarde70            5.00
vardas71       pavarde71            6.00
vardas72       pavarde72            5.00
vardas73       pavarde73            6.00
vardas74       pavarde74            9.00
vardas76       pavarde76            7.00
vardas77       pavarde77            5.00
vardas80       pavarde80            5.00
vardas81       pavarde81            7.00
vardas82       pavarde82            9.00
vardas88       pavarde88            7.00
vardas89       pavarde89            5.00
vardas90       pavarde90            6.00
vardas92       pavarde92            8.00
vardas93       pavarde93            6.00
vardas94       pavarde94            7.00
vardas96       pavarde96            5.00
vardas99       pavarde99            6.00
vardas103      pavarde103           6.00
vardas104      pavarde104           5.00
vardas105      pavarde105           5.00
vardas107      pavarde107           6.00
vardas108      pavarde108           6.00
vardas110      pavarde110           5.00
vardas112      pavarde112           5.00
vardas113      pavarde113           9.00
vardas114      pavarde114          10.00
vardas115      pavarde115           5.00
vardas118      pavarde118           5.00
vardas120      pavarde120           5.00
vardas123      pavarde123           6.00
vardas124      pavarde124           5.00
vardas125      pavarde125           8.00
vardas129      pavarde129           6.00
vardas132      pavarde132           6.00
vardas133      pavarde133           6.00
vardas135      pavarde135           5.00
vardas137      pavarde137           5.00
vardas140      pavarde140           5.00
vardas143      pavarde143           7.00
vardas144      pavarde144           5.00
vardas145      pavarde145           6.00
vardas146      pavarde146           5.00
vardas148      pavarde148           7.00
vardas149      pavarde149           5.00
vardas150      pavarde150           5.00
vardas151      pavarde151           6.00
vardas152      pavarde152           9.00
vardas153      pavarde153           7.00
vardas154      pavarde154           9.00
vardas156      pavarde156           6.00
vardas160      pavarde160           7.00
vardas164      pavarde164           5.00
vardas167      pavarde167           6.00
vardas168      pavarde168           8.00
vardas169      pavarde169           5.00
vardas170      pavarde170           8.00
vardas171      pavarde171           9.00
vardas172      pavarde172           5.00
vardas173      pavarde173           5.00
vardas174      pavarde174           6.00
vardas176      pavarde176           5.00
vardas178      pavarde178           8.00
vardas179      pavarde179           5.00
vardas182      pavarde182           5.00
vardas183      pavarde183           7.00
vardas184      pavarde184           6.00
vardas186      pavarde186           6.00
vardas187      pavarde187           7.00
vardas188      pavarde188           5.00
vardas193      pavarde193           8.00
vardas196      pavarde196           5.00
vardas197      pavarde197           6.00
vardas198      pavarde198           9.00
vardas199      pavarde199           6.00
vardas200      pavarde200           6.00
vardas201      pavarde201           5.00
vardas202      pavarde202           6.00
vardas204      pavarde204           6.00
vardas206      pavarde206           9.00
vardas207      pavarde207           6.00
vardas209      pavarde209           5.00
vardas210      pavarde210           7.00
vardas211      pavarde211           5.00
vardas212      pavarde212           9.00
vardas213      pavarde213           5.00
vardas214      pavarde214           6.00
vardas215      pavarde215           6.00
vardas216      pavarde216           6.00
vardas217      pavarde217           7.00
vardas218      pavarde218           5.00
vardas219      pavarde219           7.00
vardas220      pavarde220           5.00
vardas223      pavarde223           5.00
vardas225      pavarde225           7.00
vardas226      pavarde226           9.00
vardas227      pavarde227           7.00
vardas228      pavarde228           6.00
vardas229      pavarde229           6.00
vardas231      pavarde231           7.00
vardas235      pavarde235           7.00
vardas236      pavarde236           8.00
vardas238      pavarde238           5.00
vardas240      pavarde240           5.00
vardas242      pavarde242           6.00
vardas243      pavarde243           9.00
vardas245      pavarde245           7.00
vardas247      pavarde247           9.00
vardas250      pavarde250           6.00
vardas251      pavarde251           5.00
vardas255      pavarde255           5.00
vardas256      pavarde256           5.00
vardas257      pavarde257           6.00
vardas258      pavarde258           8.00
vardas260      pavarde260           6.00
vardas261      pavarde261           5.00
vardas262      pavarde262           5.00
vardas263      pavarde263           5.00
vardas272      pavarde272           5.00
vardas273      pavarde273           7.00
vardas274      pavarde274           6.00
vardas275      pavarde275           7.00
vardas276      pavarde276           6.00
