Vardas         Pavard               Galutinis
---------------------------------------------------------------------
vardas3        pavarde3             4.00
vardas6        pavarde6             2.00
vardas11       pavarde11            3.00
vardas13       pavarde13            3.00
vardas16       pavarde16            4.00
vardas18       pavarde18            3.00
vardas19       pavarde19            3.00
vardas25       pavarde25            3.00
vardas28       pavarde28            4.00
vardas30       pavarde30            2.00
vardas31       pavarde31            4.00
vardas32       pavarde32            2.00
vardas33       pavarde33            3.00
vardas36       pavarde36            4.00
vardas41       pavarde41            1.00
vardas42       pavarde42            3.00
vardas46       pavarde46            4.00
vardas49       pavarde49            2.00
vardas50       pavarde50            1.00
vardas51       pavarde51            3.00
vardas53       pavarde53            3.00
vardas55       pavarde55            4.00
vardas57       pavarde57            2.00
vardas60       pavarde60            3.00
vardas65       pavarde65            4.00
vardas69       pavarde69            3.00
vardas75       pavarde75            3.00
vardas78       pavarde78            3.00
vardas79       pavarde79            3.00
vardas83       pavarde83            3.00
vardas84       pavarde84            2.00
vardas85       pavarde85            3.00
vardas86       pavarde86            3.00
vardas87       pavarde87            2.00
vardas91       pavarde91            2.00
vardas95       pavarde95            4.00
vardas97       pavarde97            4.00
vardas98       pavarde98            4.00
vardas100      pavarde100           3.00
vardas101      pavarde101           3.00
vardas102      pavarde102           4.00
vardas106      pavarde106           4.00
vardas109      pavarde109           2.00
vardas111      pavarde111           4.00
vardas116      pavarde116           4.00
vardas117      pavarde117           4.00
vardas119      pavarde119           2.00
vardas121      pavarde121           4.00
vardas122      pavarde122           2.00
vardas126      pavarde126           2.00
vardas127      pavarde127           4.00
vardas128      pavarde128           4.00
vardas130      pavarde130           4.00
vardas131      pavarde131           3.00
vardas134      pavarde134           0.00
vardas136      pavarde136           4.00
vardas138      pavarde138           4.00
vardas139      pavarde139           3.00
vardas141      pavarde141           2.00
vardas142      pavarde142           4.00
vardas147      pavarde147           1.00
vardas155      pavarde155           4.00
vardas157      pavarde157           2.00
vardas158      pavarde158           4.00
vardas159      pavarde159           3.00
vardas161      pavarde161           4.00
vardas162      pavarde162           4.00
vardas163      pavarde163           4.00
vardas165      pavarde165           3.00
vardas166      pavarde166           1.00
vardas175      pavarde175           3.00
vardas177      pavarde177           4.00
vardas180      pavarde180           4.00
vardas181      pavarde181           4.00
vardas185      pavarde185           2.00
vardas189      pavarde189           4.00
vardas190      pavarde190           4.00
vardas191      pavarde191           4.00
vardas192      pavarde192           3.00
vardas194      pavarde194           4.00
vardas195      pavarde195           4.00
vardas203      pavarde203           1.00
vardas205      pavarde205           3.00
vardas208      pavarde208           4.00
vardas221      pavarde221           2.00
vardas222      pavarde222           3.00
vardas224      pavarde224           3.00
vardas230      pavarde230           3.00
vardas232      pavarde232           4.00
vardas233      pavarde233           4.00
vardas234      pavarde234           3.00
vardas237      pavarde237           3.00
vardas239      pavarde239           4.00
vardas241      pavarde241           3.00
vardas244      pavarde244           2.00
vardas246      pavarde246           1.00
vardas248      pavarde248           4.00
vardas249      pavarde249           2.00
vardas252      pavarde252           3.00
vardas253      pavarde253           4.00
vardas254      pavarde254           4.00
vardas259      pavarde259           2.00
vardas264      pavarde264           3.00
vardas265      pavarde265           2.00
vardas266      pavarde266           1.00
vardas267      pavarde267           4.00
vardas268      pavarde268           4.00
vardas269      pavarde269           4.00
vardas270      pavarde270           4.00
vardas271      pavarde271           2.00
vardas277      pavarde277           2.00
vardas279      pavarde279           4.00
vardas280      pavarde280           2.00
vardas283      pavarde283           4.00
vardas284      pavarde284           2.00
vardas285      pavarde285           4.00
vardas289      pavarde289           2.00
vardas295      pavarde295           4.00
vardas299      pavarde299           3.00
vardas300      pavarde300           3.00
vardas301      pavarde301           3.00
vardas302      pavarde302           2.00
vardas304      pavarde304           4.00
vardas305      pavarde305           3.00
vardas306      pavarde306           4.00
vardas309      pavarde309           3.00
vardas311      pavarde311           3.00
vardas317      pavarde317           3.00
vardas319      pavarde319           3.00
vardas322      pavarde322           3.00
vardas328      pavarde328           4.00
vardas335      pavarde335           1.00
vardas343      pavarde343           3.00
vardas344      pavarde344           4.00
vardas345      pavarde345           4.00
vardas346      pavarde346           4.00
vardas347      pavarde347           4.00
vardas349      pavarde349           4.00
vardas350      pavarde350           3.00
vardas354      pavarde354           4.00
vardas355      pavarde355           4.00
vardas360      pavarde360           3.00
vardas363      pavarde363           4.00
vardas366      pavarde366           3.00
vardas368      pavarde368           2.00
vardas370      pavarde370           3.00
vardas374      pavarde374           3.00
vardas375      pavarde375           2.00
vardas376      pavarde376           4.00
vardas377      pavarde377           2.00
vardas378      pavarde378           3.00
vardas379      pavarde379           2.00
vardas381      pavarde381           4.00
vardas383      pavarde383           2.00
vardas384      pavarde384           2.00
vardas389      pavarde389           1.00
vardas391      pavarde391           4.00
vardas392      pavarde392           4.00
vardas400      pavarde400           4.00
vardas402      pavarde402           3.00
vardas403      pavarde403           2.00
vardas405      pavarde405           4.00
vardas406      pavarde406           4.00
vardas409      pavarde409           4.00
vardas410      pavarde410           2.00
vardas415      pavarde415           4.00
vardas416      pavarde416           3.00
vardas423      pavarde423           2.00
vardas424      pavarde424           4.00
vardas426      pavarde426           4.00
vardas429      pavarde429           3.00
vardas434      pavarde434           4.00
vardas435      pavarde435           3.00
vardas437      pavarde437           4.00
vardas438      pavarde438           3.00
vardas441      pavarde441           3.00
vardas443      pavarde443           3.00
vardas447      pavarde447           4.00
vardas448      pavarde448           4.00
vardas449      pavarde449           4.00
vardas453      pavarde453           3.00
vardas454      pavarde454           4.00
vardas457      pavarde457           3.00
vardas469      pavarde469           4.00
vardas470      pavarde470           1.00
vardas472      pavarde472           4.00
vardas476      pavarde476           4.00
vardas479      pavarde479           3.00
vardas482      pavarde482           2.00
vardas484      pavarde484           3.00
vardas485      pavarde485           3.00
vardas493      pavarde493           4.00
vardas495      pavarde495           4.00
vardas497      pavarde497           2.00
vardas500      pavarde500           4.00
vardas504      pavarde504           4.00
vardas505      pavarde505           1.00
vardas506      pavarde506           4.00
vardas508      pavarde508           4.00
vardas513      pavarde513           2.00
vardas515      pavarde515           1.00
vardas516      pavarde516           4.00
vardas523      pavarde523           4.00
vardas525      pavarde525           3.00
vardas529      pavarde529           2.00
vardas531      pavarde531           4.00
vardas533      pavarde533           4.00
vardas537      pavarde537           4.00
vardas538      pavarde538           3.00
vardas539      pavarde539           3.00
vardas540      pavarde540           3.00
vardas541      pavarde541           4.00
vardas544      pavarde544           4.00
vardas545      pavarde545           2.00
vardas546      pavarde546           4.00
vardas548      pavarde548           4.00
vardas549      pavarde549           2.00
vardas551      pavarde551           4.00
vardas554      pavarde554           1.00
vardas556      pavarde556           1.00
vardas559      pavarde559           3.00
vardas560      pavarde560           3.00
vardas561      pavarde561           2.00
vardas564      pavarde564           3.00
vardas565      pavarde565           2.00
vardas566      pavarde566           2.00
vardas574      pavarde574           1.00
vardas576      pavarde576           3.00
vardas578      pavarde578           4.00
vardas579      pavarde579           3.00
vardas581      pavarde581           3.00
vardas582      pavarde582           4.00
vardas583      pavarde583           2.00
vardas587      pavarde587           3.00
vardas590      pavarde590           4.00
vardas593      pavarde593           3.00
vardas594      pavarde594           3.00
vardas596      pavarde596           2.00
vardas597      pavarde597           4.00
vardas600      pavarde600           3.00
vardas604      pavarde604           1.00
vardas606      pavarde606           3.00
vardas607      pavarde607           0.00
vardas610      pavarde610           4.00
vardas612      pavarde612           4.00
vardas615      pavarde615           3.00
vardas616      pavarde616           4.00
vardas620      pavarde620           4.00
vardas624      pavarde624           2.00
vardas625      pavarde625           4.00
vardas628      pavarde628           4.00
vardas632      pavarde632           4.00
vardas637      pavarde637           4.00
vardas639      pavarde639           0.00
vardas643      pavarde643           2.00
vardas645      pavarde645           4.00
vardas650      pavarde650           4.00
vardas651      pavarde651           4.00
vardas653      pavarde653           4.00
vardas654      pavarde654           4.00
vardas658      pavarde658           4.00
vardas663      pavarde663           3.00
vardas664      pavarde664           3.00
vardas666      pavarde666           4.00
vardas669      pavarde669           4.00
vardas671      pavarde671           3.00
vardas673      pavarde673           2.00
vardas674      pavarde674           0.00
vardas675      pavarde675           2.00
vardas678      pavarde678           4.00
vardas680      pavarde680           0.00
vardas683      pavarde683           4.00
vardas684      pavarde684           2.00
vardas687      pavarde687           4.00
vardas690      pavarde690           3.00
vardas691      pavarde691           3.00
vardas692      pavarde692           4.00
vardas694      pavarde694           4.00
vardas695      pavarde695           3.00
vardas697      pavarde697           4.00
vardas701      pavarde701           4.00
vardas702      pavarde702           3.00
vardas704      pavarde704           3.00
vardas705      pavarde705           3.00
vardas709      pavarde709           3.00
vardas710      pavarde710           1.00
vardas714      pavarde714           4.00
vardas718      pavarde718           1.00
vardas723      pavarde723           4.00
vardas726      pavarde726           4.00
vardas729      pavarde729           4.00
vardas732      pavarde732           4.00
vardas733      pavarde733           3.00
vardas737      pavarde737           2.00
vardas738      pavarde738           3.00
vardas745      pavarde745           3.00
vardas751      pavarde751           4.00
vardas755      pavarde755           4.00
vardas758      pavarde758           3.00
vardas759      pavarde759           3.00
vardas760      pavarde760           3.00
vardas761      pavarde761           4.00
vardas762      pavarde762           3.00
vardas765      pavarde765           3.00
vardas766      pavarde766           2.00
vardas767      pavarde767           3.00
vardas781      pavarde781           4.00
vardas784      pavarde784           3.00
vardas785      pavarde785           3.00
vardas789      pavarde789           3.00
vardas791      pavarde791           4.00
vardas792      pavarde792           4.00
vardas793      pavarde793           4.00
vardas794      pavarde794           1.00
vardas796      pavarde796           3.00
vardas799      pavarde799           3.00
vardas801      pavarde801           3.00
vardas803      pavarde803           4.00
vardas807      pavarde807           4.00
vardas810      pavarde810           4.00
vardas811      pavarde811           4.00
vardas812      pavarde812           4.00
vardas813      pavarde813           4.00
vardas816      pavarde816           2.00
vardas818      pavarde818           4.00
vardas819      pavarde819           3.00
vardas828      pavarde828           4.00
vardas829      pavarde829           4.00
vardas830      pavarde830           3.00
vardas832      pavarde832           1.00
vardas836      pavarde836           4.00
vardas839      pavarde839           4.00
vardas843      pavarde843           4.00
vardas844      pavarde844           3.00
vardas845      pavarde845           2.00
vardas849      pavarde849           2.00
vardas850      pavarde850           3.00
vardas852      pavarde852           2.00
vardas854      pavarde854           2.00
vardas855      pavarde855           2.00
vardas856      pavarde856           3.00
vardas859      pavarde859           4.00
vardas862      pavarde862           2.00
vardas863      pavarde863           4.00
vardas865      pavarde865           4.00
vardas870      pavarde870           4.00
vardas872      pavarde872           3.00
vardas879      pavarde879           2.00
vardas881      pavarde881           4.00
vardas882      pavarde882           1.00
vardas883      pavarde883           4.00
vardas884      pavarde884           3.00
vardas886      pavarde886           1.00
vardas887      pavarde887           4.00
vardas888      pavarde888           2.00
vardas890      pavarde890           2.00
vardas891      pavarde891           3.00
vardas893      pavarde893           2.00
vardas895      pavarde895           4.00
vardas896      pavarde896           4.00
vardas901      pavarde901           2.00
vardas904      pavarde904           4.00
vardas905      pavarde905           4.00
vardas907      pavarde907           3.00
vardas910      pavarde910           3.00
vardas912      pavarde912           4.00
vardas913      pavarde913           2.00
vardas915      pavarde915           1.00
vardas919      pavarde919           4.00
vardas923      pavarde923           3.00
vardas924      pavarde924           2.00
vardas925      pavarde925           4.00
vardas928      pavarde928           2.00
vardas931      pavarde931           2.00
vardas932      pavarde932           4.00
vardas935      pavarde935           3.00
vardas936      pavarde936           1.00
vardas937      pavarde937           4.00
vardas940      pavarde940           2.00
vardas943      pavarde943           0.00
vardas944      pavarde944           4.00
vardas945      pavarde945           3.00
vardas949      pavarde949           4.00
vardas953      pavarde953           1.00
vardas961      pavarde961           3.00
vardas962      pavarde962           1.00
vardas966      pavarde966           2.00
vardas969      pavarde969           4.00
vardas979      pavarde979           4.00
vardas981      pavarde981           4.00
vardas982      pavarde982           4.00
vardas983      pavarde983           4.00
vardas986      pavarde986           1.00
vardas987      pavarde987           2.00
vardas988      pavarde988           4.00
vardas990      pavarde990           4.00
vardas991      pavarde991           3.00
vardas992      pavarde992           3.00
vardas993      pavarde993           3.00
vardas995      pavarde995           3.00
vardas998      pavarde998           3.00
